imdbId,title,movieBudget,movieProfit,actors
tt0118578,Albela,45,374,Govinda
tt0118578,Albela,45,374,Aishwarya Rai Bachchan
tt0118578,Albela,45,374,Jackie Shroff
tt0118578,Albela,45,374,Namrata Shirodkar
tt0169102,Lagaan: Once Upon a Time in India,186,434,Aamir Khan
tt0169102,Lagaan: Once Upon a Time in India,186,434,Gracy Singh
tt0169102,Lagaan: Once Upon a Time in India,186,434,Rachel Shelley
tt0169102,Lagaan: Once Upon a Time in India,186,434,Paul Blackthorne
tt0187279,Meri Biwi Ka Jawab Nahin,212,336,Akshay Kumar
tt0187279,Meri Biwi Ka Jawab Nahin,212,336,Sridevi
tt0187279,Meri Biwi Ka Jawab Nahin,212,336,Gulshan Grover
tt0187279,Meri Biwi Ka Jawab Nahin,212,336,Laxmikant Berde
tt0222024,Hum Tumhare Hain Sanam,133,461,Shah Rukh Khan
tt0222024,Hum Tumhare Hain Sanam,133,461,Madhuri Dixit
tt0222024,Hum Tumhare Hain Sanam,133,461,Salman Khan
tt0222024,Hum Tumhare Hain Sanam,133,461,Atul Agnihotri
tt0227194,One 2 Ka 4,144,417,Shah Rukh Khan
tt0227194,One 2 Ka 4,144,417,Juhi Chawla
tt0227194,One 2 Ka 4,144,417,Jackie Shroff
tt0227194,One 2 Ka 4,144,417,Nirmal Pandey
tt0238936,Devdas,70,437,Shah Rukh Khan
tt0238936,Devdas,70,437,Madhuri Dixit
tt0238936,Devdas,70,437,Aishwarya Rai Bachchan
tt0238936,Devdas,70,437,Jackie Shroff
tt0247911,Aap Mujhe Achche Lagne Lage,176,70,Hrithik Roshan
tt0247911,Aap Mujhe Achche Lagne Lage,176,70,Ameesha Patel
tt0247911,Aap Mujhe Achche Lagne Lage,176,70,Kiran Kumar
tt0247911,Aap Mujhe Achche Lagne Lage,176,70,Mukesh Tiwari
tt0248126,Kabhi Khushi Kabhie Gham...,150,94,Amitabh Bachchan
tt0248126,Kabhi Khushi Kabhie Gham...,150,94,Jaya Bhaduri
tt0248126,Kabhi Khushi Kabhie Gham...,150,94,Shah Rukh Khan
tt0248126,Kabhi Khushi Kabhie Gham...,150,94,Kajol
tt0248216,Na Tum Jaano Na Hum,17,179,Saif Ali Khan
tt0248216,Na Tum Jaano Na Hum,17,179,Hrithik Roshan
tt0248216,Na Tum Jaano Na Hum,17,179,Esha Deol
tt0248216,Na Tum Jaano Na Hum,17,179,Alok Nath
tt0248617,Yaadein...,48,265,Jackie Shroff
tt0248617,Yaadein...,48,265,Hrithik Roshan
tt0248617,Yaadein...,48,265,Kareena Kapoor
tt0248617,Yaadein...,48,265,Amrish Puri
tt0255713,Zubeidaa,240,474,Karisma Kapoor
tt0255713,Zubeidaa,240,474,Rekha
tt0255713,Zubeidaa,240,474,Manoj Bajpayee
tt0255713,Zubeidaa,240,474,Rajit Kapoor
tt0256692,Chori Chori Chupke Chupke,57,89,Preity Zinta
tt0256692,Chori Chori Chupke Chupke,57,89,Salman Khan
tt0256692,Chori Chori Chupke Chupke,57,89,Rani Mukerji
tt0256692,Chori Chori Chupke Chupke,57,89,Amrish Puri
tt0265148,Main Prem Ki Diwani Hoon,215,94,Hrithik Roshan
tt0265148,Main Prem Ki Diwani Hoon,215,94,Kareena Kapoor
tt0265148,Main Prem Ki Diwani Hoon,215,94,Abhishek Bachchan
tt0265148,Main Prem Ki Diwani Hoon,215,94,Johnny Lever
tt0265452,Officer,15,114,Sunil Shetty
tt0265452,Officer,15,114,Raveena Tandon
tt0265452,Officer,15,114,Danny Denzongpa
tt0265452,Officer,15,114,Sadashiv Amrapurkar
tt0267363,Chandni Bar,45,370,Tabu
tt0267363,Chandni Bar,45,370,Atul Kulkarni
tt0267363,Chandni Bar,45,370,Rajpal Yadav
tt0267363,Chandni Bar,45,370,Shri Vallabh Vyas
tt0271604,Kuch Khatti Kuch Meethi,10,161,Kajol
tt0271604,Kuch Khatti Kuch Meethi,10,161,Rishi Kapoor
tt0271604,Kuch Khatti Kuch Meethi,10,161,Rati Agnihotri
tt0271604,Kuch Khatti Kuch Meethi,10,161,Sunil Shetty
tt0272543,Censor,56,500,Dev Anand
tt0272543,Censor,56,500,Hema Malini
